img,title,price,product_link
http://www.bornprettystore.com/images/ProPho/15087/dsc.jpg,Nail Art Stamp Template Quirky Arabesque Patt...,USD $2.09,http://www.bornprettystore.com/nail-stamp-template-quirky-arabesque-pattern-qa88-p-15087.html
http://www.bornprettystore.com/images/ProPho/6077/dsc.jpg,Nail Water Decals Sticker Lovely Mustache Eye...,USD $0.99,http://www.bornprettystore.com/nail-water-decals-sticker-lovely-mustache-cartoon-design-p-6077.html
http://www.bornprettystore.com/images/ProPho/4862/dsc1.jpg,Cute Moustache Lips Design Nail Art Stamp Tem...,USD $1.94,http://www.bornprettystore.com/cute-moustache-lips-design-nail-stamp-template-qa28-p-4862.html
http://www.bornprettystore.com/images/ProPho/7278/dsc.JPG,350pcs 2mm Round Square Mix Stud Rhinestones ...,USD $4.89,http://www.bornprettystore.com/350pcs-round-square-stud-rhinestones-nail-decoration-wbox-sale-p-7278.html
http://www.bornprettystore.com/images/ProPho/516/dsc(1).jpg,12 Colors 3D Steel Ball Caviar Beads Manicure...,USD $3.79,http://www.bornprettystore.com/colors-steel-ball-caviar-beads-manicure-glitter-nail-decoration-p-516.html
http://www.bornprettystore.com/images/ProPho/1924/dsc.jpg,Cute Rabbit Cat Animal Design Nail Art Stamp ...,USD $0.99,http://www.bornprettystore.com/cute-rabbit-animal-design-nail-stamp-template-p-1924.html
http://www.bornprettystore.com/images/ProPho/3856/dsc.jpg,15ml Fluorescent Neon Luminous Nail Art Polis...,USD $4.99,http://www.bornprettystore.com/15ml-fluorescent-neon-luminous-nail-polish-varnish-glow-dark-p-3856.html
http://www.bornprettystore.com/images/ProPho/1372/dsc.jpg,100cm Charm Gold Beads Line Chain Nail Art De...,USD $5.61,http://www.bornprettystore.com/100cm-charm-gold-beads-line-chain-nail-decoration-p-1372.html
http://www.bornprettystore.com/images/ProPho/1077/dsc.jpg,New Flower Design Nail Art Stamp Template-m76,USD $2.99,http://www.bornprettystore.com/flower-design-nail-stamp-template-p-1077.html
http://www.bornprettystore.com/images/ProPho/7619/dsc.jpg,1 pack Perfect French Manicure Edge Tip Guide...,USD $0.99,http://www.bornprettystore.com/pack-perfect-french-manicure-edge-guides-strip-nail-decoration-p-7619.html
http://www.bornprettystore.com/images/ProPho/448/dsc.jpg,Nail Art Colorful Half Pearls Decoration Set ...,USD $3.55,http://www.bornprettystore.com/nail-colorful-half-pearls-decoration-nail-p-448.html
http://www.bornprettystore.com/images/ProPho/1071/dsc.jpg,New Bowknot French Nail Art Stamp Template-m5...,USD $2.39,http://www.bornprettystore.com/bowknot-french-nail-stamp-template-p-1071.html
